,acronym,name,color_hex_triplet,graph_order,id,structure_id_path
279,FOTUmo,"Folium-tuber vermis (VII), molecular layer",FFFC91,1051,10728,/997/8/512/528/645/944/10728/
280,CEAm,"Central amygdalar nucleus, medial part",80C0E2,598,559,/997/8/567/623/477/278/536/559/
281,RSPd6a,"Retrosplenial area, dorsal part, layer 6a",1AA698,330,274,/997/8/567/688/695/315/254/879/274/
282,VISm6b,"Medial visual area, layer 6b",1AA698,324,480149338,/997/8/567/688/695/315/254/894/480149314/480149338/
283,NTSce,"Nucleus of the solitary tract, central part",FFA5D2,949,659,/997/8/343/1065/354/386/651/659/
284,COApl,"Cortical amygdalar area, posterior part, lateral zone",61E7B7,432,655,/997/8/567/688/695/698/631/647/655/
285,SS,Somatosensory areas,188064,30,453,/997/8/567/688/695/315/453/
286,MARN,Magnocellular reticular nucleus,FFB3D9,984,307,/997/8/343/1065/354/370/307/
287,GU4,"Gustatory areas, layer 4",009C75,110,148,/997/8/567/688/695/315/1057/148/
288,HY,Hypothalamus,E64438,715,1097,/997/8/343/1129/1097/
289,PRT,Pretectal region,FF90FF,843,1100,/997/8/343/313/323/1100/
290,COApl1,"Cortical amygdalar area, posterior part, lateral zone, layer 1",61E7B7,435,216,/997/8/567/688/695/698/631/647/655/216/
291,MOp5,"Primary motor area, Layer 5",1F9D5A,21,648,/997/8/567/688/695/315/500/985/648/
292,HEM,Hemispheric regions,FFFC91,1066,1073,/997/8/512/528/1073/
293,AId6a,"Agranular insular area, dorsal part, layer 6a",219866,283,783,/997/8/567/688/695/315/95/104/783/
294,OLF,Olfactory areas,9AD2BD,379,698,/997/8/567/688/695/698/
295,CA1so,"Field CA1, stratum oriens",7ED04B,459,399,/997/8/567/688/695/1089/1080/375/382/399/
296,CA3sr,"Field CA3, stratum radiatum",7ED04B,472,504,/997/8/567/688/695/1089/1080/375/463/504/
297,ECU,External cuneate nucleus,FFA5D2,946,903,/997/8/343/1065/354/386/903/
298,TMv,"Tuberomammillary nucleus, ventral part",FF4C3E,775,1,/997/8/343/1129/1097/467/331/557/1/
299,MGm,"Medial geniculate complex, medial part",FF8084,661,1088,/997/8/343/1129/549/864/1008/475/1088/
300,ENTmv1,"Entorhinal area, medial part, ventral zone, layer 1",32B825,518,259,/997/8/567/688/695/1089/822/909/934/259/
301,VP,Ventral posterior complex of the thalamus,FF8084,646,709,/997/8/343/1129/549/864/637/709/
302,bct,bulbocerebellar tract,CCCCCC,1184,490,/997/1009/960/752/1123/490/
303,hc,hippocampal commissures,CCCCCC,1253,618,/997/1009/991/768/1099/618/
304,ACAd,"Anterior cingulate area, dorsal part",40A666,226,39,/997/8/567/688/695/315/31/39/
305,ENT,Entorhinal area,32B825,493,909,/997/8/567/688/695/1089/822/909/
306,PIR,Piriform area,6ACBBA,416,961,/997/8/567/688/695/698/961/
307,AIp,"Agranular insular area, posterior part",219866,285,111,/997/8/567/688/695/315/95/111/
308,VISpl6b,"Posterolateral visual area, layer 6b",08858C,198,393,/997/8/567/688/695/315/669/425/393/
309,RH,Rhomboid nucleus,FF909F,697,189,/997/8/343/1129/549/856/51/189/
310,ATN,Anterior group of the dorsal thalamus,FF909F,674,239,/997/8/343/1129/549/856/239/
311,VISl6a,"Lateral visual area, layer 6a",08858C,183,74,/997/8/567/688/695/315/669/409/74/
312,LING,Lingula (I),FFFC91,1020,912,/997/8/512/528/645/912/
313,SUM,Supramammillary nucleus,FF4C3E,770,525,/997/8/343/1129/1097/467/331/525/
314,PIN,Pineal body,FF909F,714,953,/997/8/343/1129/549/856/958/953/
315,SSp-tr4,"Primary somatosensory area, trunk, layer 4",188064,89,1086,/997/8/567/688/695/315/453/322/361/1086/
316,VISpor,Postrhinal area,08858C,213,312782628,/997/8/567/688/695/315/669/312782628/
317,"CUL4, 5",Lobules IV-V,FFFC91,1042,1091,/997/8/512/528/645/928/1091/
318,py,pyramid,CCCCCC,1207,190,/997/1009/983/784/190/
319,CL,Central lateral nucleus of the thalamus,FF909F,700,575,/997/8/343/1129/549/856/51/575/
320,AHA,Anterior hypothalamic area,FF5547,736,80,/997/8/343/1129/1097/141/80/
321,mcp,middle cerebellar peduncle,CCCCCC,1179,78,/997/1009/960/752/78/
322,XIIn,hypoglossal nerve,CCCCCC,1147,813,/997/1009/967/813/
323,FRP2/3,"Frontal pole, layer 2/3",268F45,8,667,/997/8/567/688/695/315/184/667/
324,CA1,Field CA1,7ED04B,457,382,/997/8/567/688/695/1089/1080/375/382/
325,PVHdp,"Paraventricular hypothalamic nucleus, descending division, dorsal parvicellular part",FF4C3E,783,439,/997/8/343/1129/1097/467/63/439/
326,ORBl6b,"Orbital area, lateral part, layer 6b",248A5E,263,488,/997/8/567/688/695/315/714/723/488/
327,MMd,"Medial mammillary nucleus, dorsal part",FF4C3E,769,606826659,/997/8/343/1129/1097/467/331/491/606826659/
328,AONd,"Anterior olfactory nucleus, dorsal part",54BF94,391,167,/997/8/567/688/695/698/159/167/
329,TR1-3,"Postpiriform transition area, layers 1-3",A8ECD3,450,517,/997/8/567/688/695/698/566/517/
330,SSp5,"Primary somatosensory area, layer 5",188064,41,921,/997/8/567/688/695/315/453/322/921/
331,SSp-bfd,"Primary somatosensory area, barrel field",188064,51,329,/997/8/567/688/695/315/453/322/329/
332,TR3,"Postpiriform transition area, layers 3",A8ECD3,453,1142,/997/8/567/688/695/698/566/1142/
333,VISl2/3,"Lateral visual area, layer 2/3",08858C,180,973,/997/8/567/688/695/315/669/409/973/
334,CENT3,Lobule III,FFFC91,1029,984,/997/8/512/528/645/920/984/
335,PAG,Periaqueductal gray,FF90FF,838,795,/997/8/343/313/323/795/
336,SCig,"Superior colliculus, motor related, intermediate gray layer",FF90FF,834,10,/997/8/343/313/323/294/10/
337,DG-sg,"Dentate gyrus, granule cell layer",66A83D,476,632,/997/8/567/688/695/1089/1080/726/632/
338,ICc,"Inferior colliculus, central nucleus",FF7AFF,813,811,/997/8/343/313/339/4/811/
339,PYRgr,"Pyramus (VIII), granular layer",ECE754,1057,10729,/997/8/512/528/645/951/10729/
340,ANcr1gr,"Crus 1, granular layer",ECE754,1075,10675,/997/8/512/528/1073/1017/1056/10675/
341,PVHmm,"Paraventricular hypothalamic nucleus, magnocellular division, medial magnocellular part",FF5D50,723,79,/997/8/343/1129/1097/157/38/71/79/
342,cte,corticotectal tract,CCCCCC,1203,1036,/997/1009/983/784/1036/
343,FL,Flocculus,FFFC91,1092,1049,/997/8/512/528/1073/1049/
344,BMAa,"Basomedial amygdalar nucleus, anterior part",84EA81,567,327,/997/8/567/688/703/319/327/
345,epsc,cerebral nuclei related,CCCCCC,1219,760,/997/1009/1000/760/
346,ENTl6a,"Entorhinal area, lateral part, layer 6a",32B825,505,28,/997/8/567/688/695/1089/822/909/918/28/
347,scrt,spinocervical tract,CCCCCC,1163,245,/997/1009/967/871/245/
348,ENTl2a,"Entorhinal area, lateral part, layer 2a",32B825,498,715,/997/8/567/688/695/1089/822/909/918/715/
349,aot,accessory optic tract,CCCCCC,1113,876,/997/1009/967/848/876/
350,SSp-n4,"Primary somatosensory area, nose, layer 4",188064,47,654,/997/8/567/688/695/315/453/322/353/654/
351,PPT,Posterior pretectal nucleus,FF90FF,849,1061,/997/8/343/313/323/1100/1061/
352,AIv1,"Agranular insular area, ventral part, layer 1",219866,292,704,/997/8/567/688/695/315/95/119/704/
353,PRE,Presubiculum,59B947,531,1084,/997/8/567/688/695/1089/822/1084/
354,PVa,"Periventricular hypothalamic nucleus, anterior part",FF5D50,731,30,/997/8/343/1129/1097/157/30/
355,PL1,"Prelimbic area, layer 1",2FA850,239,171,/997/8/567/688/695/315/972/171/
356,MS,Medial septal nucleus,96A7D3,617,564,/997/8/567/623/803/826/904/564/
357,MED,Medial group of the dorsal thalamus,FF909F,683,444,/997/8/343/1129/549/856/444/
358,MOs2/3,"Secondary motor area, layer 2/3",1F9D5A,26,962,/997/8/567/688/695/315/500/993/962/
359,CTXsp,Cortical subplate,8ADA87,555,703,/997/8/567/688/703/
360,CENT3gr,"Lobule III, granular layer",ECE754,1032,10711,/997/8/512/528/645/920/984/10711/
361,DG-mo,"Dentate gyrus, molecular layer",7ED04B,474,10703,/997/8/567/688/695/1089/1080/726/10703/
362,MY-sat,"Medulla, behavioral state related",FFC6E2,1010,379,/997/8/343/1065/354/379/
363,VLPO,Ventrolateral preoptic nucleus,FF5547,755,689,/997/8/343/1129/1097/141/689/
364,ORBvl6a,"Orbital area, ventrolateral part, layer 6a",248A5E,276,608,/997/8/567/688/695/315/714/746/608/
365,P-sat,"Pons, behavioral state related",FFC395,924,1117,/997/8/343/1065/771/1117/
366,pms,paramedian sulcus,AAAAAA,1323,57,/997/1024/1040/57/
367,VISpl2/3,"Posterolateral visual area, layer 2/3",08858C,194,269,/997/8/567/688/695/315/669/425/269/
368,cstu,"corticospinal tract, uncrossed",CCCCCC,1210,1028,/997/1009/983/784/1028/
369,NC,Nucleus circularis,FF5D50,719,432,/997/8/343/1129/1097/157/332/432/
370,fa,"corpus callosum, anterior forceps",CCCCCC,1192,956,/997/1009/983/776/956/
371,VISpm6a,"posteromedial visual area, layer 6a",08858C,204,257,/997/8/567/688/695/315/669/533/257/
372,SSp-n2/3,"Primary somatosensory area, nose, layer 2/3",188064,46,838,/997/8/567/688/695/315/453/322/353/838/
373,DTN,Dorsal tegmental nucleus,FFBA86,908,880,/997/8/343/1065/771/987/880/
374,lab,longitudinal association bundle,CCCCCC,1258,37,/997/1009/991/768/37/
375,SSs1,"Supplemental somatosensory area, layer 1",188064,101,873,/997/8/567/688/695/315/453/378/873/
376,VIIIn,vestibulocochlear nerve,CCCCCC,1133,933,/997/1009/967/933/
377,ACAv5,"Anterior cingulate area, ventral part, layer 5",40A666,235,772,/997/8/567/688/695/315/31/48/772/
378,AUDp6b,"Primary auditory area, layer 6b",019399,142,1005,/997/8/567/688/695/315/247/1002/1005/
379,sttl,lateral spinothalamic tract,CCCCCC,1161,29,/997/1009/967/871/29/
380,EP,Endopiriform nucleus,A0EE9D,558,942,/997/8/567/688/703/942/
381,ECT5,Ectorhinal area/Layer 5,0D9F91,376,988,/997/8/567/688/695/315/895/988/
382,PC5,Parvicellular motor 5 nucleus,FFBA86,922,549009223,/997/8/343/1065/771/987/549009223/
383,act,"anterior commissure, temporal limb",CCCCCC,1242,908,/997/1009/991/768/908/
384,VISp4,"Primary visual area, layer 4",08858C,188,721,/997/8/567/688/695/315/669/385/721/
385,ORBvl,"Orbital area, ventrolateral part",248A5E,272,746,/997/8/567/688/695/315/714/746/
386,DGmb-sg,"Dentate gyrus medial blade, granule cell layer",7ED04B,489,823,/997/8/567/688/695/1089/1080/726/799/823/
387,AONpv,"Anterior olfactory nucleus, posteroventral part",54BF94,395,199,/997/8/567/688/695/698/159/199/
388,DGmb-po,"Dentate gyrus medial blade, polymorph layer",7ED04B,488,815,/997/8/567/688/695/1089/1080/726/799/815/
389,CLA,Claustrum,8ADA87,557,583,/997/8/567/688/703/583/
390,SSp-un4,"Primary somatosensory area, unassigned, layer 4",188064,96,182305701,/997/8/567/688/695/315/453/322/182305689/182305701/
391,MDl,"Mediodorsal nucleus of the thalamus, lateral part",FF909F,687,626,/997/8/343/1129/549/856/444/362/626/
392,V4r,lateral recess,AAAAAA,1302,153,/997/73/145/153/
393,SSp-un6a,"Primary somatosensory area, unassigned, layer 6a",188064,98,182305709,/997/8/567/688/695/315/453/322/182305689/182305709/
394,ILA1,"Infralimbic area, layer 1",59B363,246,707,/997/8/567/688/695/315/44/707/
395,SSp-un1,"Primary somatosensory area, unassigned, layer 1",188064,94,182305693,/997/8/567/688/695/315/453/322/182305689/182305693/
396,AUDv4,"Ventral auditory area, layer 4",019399,153,990,/997/8/567/688/695/315/247/1018/990/
397,PRNc,"Pontine reticular nucleus, caudal part",FFBA86,913,1093,/997/8/343/1065/771/987/1093/
398,tb,trapezoid body,CCCCCC,1137,841,/997/1009/967/933/948/841/
399,SCig-a,"Superior colliculus, motor related, intermediate gray layer, sublayer a",FF90FF,835,494,/997/8/343/313/323/294/10/494/
400,AUDv2/3,"Ventral auditory area, layer 2/3",019399,152,755,/997/8/567/688/695/315/247/1018/755/
401,VISa6a,"Anterior area, layer 6a",009FAC,351,312782566,/997/8/567/688/695/315/22/312782546/312782566/
402,INC,Interstitial nucleus of Cajal,FF90FF,840,67,/997/8/343/313/323/795/67/
403,SSp-bfd6a,"Primary somatosensory area, barrel field, layer 6a",188064,56,1038,/997/8/567/688/695/315/453/322/329/1038/
404,DG-sgz,"Dentate gyrus, subgranular zone",7ED04B,477,10702,/997/8/567/688/695/1089/1080/726/10702/
405,SSp-ul2/3,"Primary somatosensory area, upper limb, layer 2/3",188064,81,854,/997/8/567/688/695/315/453/322/369/854/
406,ORBvl2/3,"Orbital area, ventrolateral part, layer 2/3",248A5E,274,288,/997/8/567/688/695/315/714/746/288/
407,IXn,glossopharyngeal nerve,CCCCCC,1143,808,/997/1009/967/808/
408,ACAv2/3,"Anterior cingulate area, ventral part, layer 2/3",40A666,234,296,/997/8/567/688/695/315/31/48/296/
409,dlf,dorsal longitudinal fascicle,CCCCCC,1290,547,/997/1009/991/824/70/547/
410,OT1-3,"Olfactory tubercle, layers 1-3",80CDF8,580,144,/997/8/567/623/477/493/754/144/
411,VISli5,"Laterointermediate area, layer 5",08858C,210,312782590,/997/8/567/688/695/315/669/312782574/312782590/
412,COAp,"Cortical amygdalar area, posterior part",61E7B7,431,647,/997/8/567/688/695/698/631/647/
413,CA3,Field CA3,7ED04B,467,463,/997/8/567/688/695/1089/1080/375/463/
414,tn,terminal nerve,CCCCCC,1103,885,/997/1009/967/885/
415,COApm1-3,"Cortical amygdalar area, posterior part, medial zone, layers 1-3",61E7B7,440,383,/997/8/567/688/695/698/631/647/663/383/
416,RM,Nucleus raphe magnus,FFC6E2,1011,206,/997/8/343/1065/354/379/206/
417,NLL,Nucleus of the lateral lemniscus,FFAE6F,885,612,/997/8/343/1065/771/1132/612/
418,VISm5,"Medial visual area,layer 5",1AA698,322,480149330,/997/8/567/688/695/315/254/894/480149314/480149330/
419,dtd,doral tegmental decussation,CCCCCC,1228,1060,/997/1009/1000/877/1060/
420,ECO,Efferent cochlear group,FFB3D9,974,887,/997/8/343/1065/354/370/887/
421,PRP,Nucleus prepositus,FFB3D9,996,169,/997/8/343/1065/354/370/154/169/
422,LSr,"Lateral septal nucleus, rostral (rostroventral) part",90CBED,588,258,/997/8/567/623/477/275/242/258/
423,VISrll5,"Rostrolateral lateral visual area,layer 5",188064,62,480149218,/997/8/567/688/695/315/453/322/329/480149202/480149218/
424,CBXgr,"Cerebellar cortex, granular layer",ECE754,1018,1143,/997/8/512/528/1143/
425,VISC1,"Visceral area, layer 1",11AD83,115,897,/997/8/567/688/695/315/677/897/
426,RC,rhinocele,AAAAAA,1294,89,/997/73/81/89/
427,rstm,"retriculospinal tract, medial part",CCCCCC,1236,213,/997/1009/1000/855/213/
428,cing,cingulum bundle,CCCCCC,1243,940,/997/1009/991/768/940/
429,NR,Nucleus of Roller,FFB3D9,995,177,/997/8/343/1065/354/370/154/177/
430,VISC5,"Visceral area, layer 5",11AD83,118,1058,/997/8/567/688/695/315/677/1058/
431,VISmmp,Mediomedial posterior visual area,1AA698,311,480149286,/997/8/567/688/695/315/254/894/480149286/
432,sAMY,Striatum-like amygdalar nuclei,80C0E2,592,278,/997/8/567/623/477/278/
433,APN,Anterior pretectal nucleus,FF90FF,844,215,/997/8/343/313/323/1100/215/
434,DORpm,"Thalamus, polymodal association cortex related",FF909F,666,856,/997/8/343/1129/549/856/
435,fpr,fasciculus proprius,CCCCCC,1154,586,/997/1009/967/792/932/586/
436,SUBd-sr,"Subiculum, dorsal part, stratum radiatum",4FC244,539,837,/997/8/567/688/695/1089/822/502/509/837/
437,LGv,Ventral part of the lateral geniculate complex,FF909F,707,178,/997/8/343/1129/549/856/1014/178/
438,shp,spinohypothalamic pathway,CCCCCC,1168,253,/997/1009/967/871/253/
439,AOBmi,"Accessory olfactory bulb, mitral layer",9DF0D2,389,204,/997/8/567/688/695/698/151/204/
440,DT,Dorsal terminal nucleus of the accessory optic tract,FF90FF,862,75,/997/8/343/313/323/75/
441,grf,gracile fascicle,CCCCCC,1157,388,/997/1009/967/792/932/514/388/
442,VMHvl,"Ventromedial hypothalamic nucleus, ventrolateral part",FF4C3E,791,785,/997/8/343/1129/1097/467/693/785/
443,TTd2,"Taenia tecta, dorsal part, layer 2",62D09F,402,1042,/997/8/567/688/695/698/589/597/1042/
444,ENTm5/6,"Entorhinal area, medial part, dorsal zone, layer 5/6",32B825,515,550,/997/8/567/688/695/1089/822/909/926/550/
445,phpv,"propriohypothalamic pathways, ventral",CCCCCC,1275,787,/997/1009/991/824/182/787/
446,SPVOmdmd,"Spinal nucleus of the trigeminal, oral part, middle dorsomedial part, dorsal zone",FFA5D2,958,53,/997/8/343/1065/354/386/445/53/
447,COApm3,"Cortical amygdalar area, posterior part, medial zone, layer 3",61E7B7,443,256,/997/8/567/688/695/698/631/647/663/256/
448,CEAc,"Central amygdalar nucleus, capsular part",80C0E2,596,544,/997/8/567/623/477/278/536/544/
449,RO,Nucleus raphe obscurus,FFC6E2,1013,222,/997/8/343/1065/354/379/222/
450,dcm,dorsal commissure of the spinal cord,CCCCCC,1152,522,/997/1009/967/792/932/522/
451,AUDpo,Posterior auditory area,019399,143,1027,/997/8/567/688/695/315/247/1027/
452,dscp,superior cerebellar peduncle decussation,CCCCCC,1175,812,/997/1009/960/752/326/812/
453,XII,Hypoglossal nucleus,FFB3D9,1007,773,/997/8/343/1065/354/370/773/
454,VISam6a,"Anteromedial visual area, layer 6a",08858C,176,1046,/997/8/567/688/695/315/669/394/1046/
455,DORsm,"Thalamus, sensory-motor cortex related",FF8084,642,864,/997/8/343/1129/549/864/
456,SSp-ul4,"Primary somatosensory area, upper limb, layer 4",188064,82,577,/997/8/567/688/695/315/453/322/369/577/
457,AQ,cerebral aqueduct,AAAAAA,1300,140,/997/73/140/
458,CNlam,Granular lamina of the cochlear nuclei,FFA5D2,939,112,/997/8/343/1065/354/386/607/112/
459,MRNm,"Midbrain reticular nucleus, magnocellular part",FF90FF,827,539,/997/8/343/313/323/128/539/
460,SSs6a,"Supplemental somatosensory area, layer 6a",188064,105,862,/997/8/567/688/695/315/453/378/862/
461,AMBv,"Nucleus ambiguus, ventral division",FFB3D9,972,143,/997/8/343/1065/354/370/135/143/
462,SS2/3,"Somatosensory areas, layer 2/3",188064,32,12994,/997/8/567/688/695/315/453/12994/
463,PL6a,"Prelimbic area, layer 6a",2FA850,243,84,/997/8/567/688/695/315/972/84/
464,ME,Median eminence,F2483B,805,10671,/997/8/343/1129/1097/10671/
465,sctd,dorsal spinocerebellar tract,CCCCCC,1181,553,/997/1009/960/752/1123/553/
466,poc,preoptic commissure,CCCCCC,1264,174,/997/1009/991/824/174/
467,SSp-tr1,"Primary somatosensory area, trunk, layer 1",188064,87,1006,/997/8/567/688/695/315/453/322/361/1006/
468,TRS,Triangular nucleus of septum,96A7D3,619,581,/997/8/567/623/803/826/581/
469,hbc,habenular commissure,CCCCCC,1287,611,/997/1009/991/824/1083/611/
470,ACA1,"Anterior cingulate area, layer 1",40A666,221,572,/997/8/567/688/695/315/31/572/
471,TEa5,"Temporal association areas, layer 5",15B0B3,364,289,/997/8/567/688/695/315/541/289/
472,AUDpo2/3,"Posterior auditory area, layer 2/3",019399,145,643,/997/8/567/688/695/315/247/1027/643/
473,PERI2/3,"Perirhinal area, layer 2/3",0E9684,369,888,/997/8/567/688/695/315/922/888/
474,VISp6b,"Primary visual area, layer 6b",08858C,191,305,/997/8/567/688/695/315/669/385/305/
475,LIN,Linear nucleus of the medulla,FFB3D9,980,203,/997/8/343/1065/354/370/203/
476,ENTl2/3,"Entorhinal area, lateral part, layer 2/3",32B825,497,999,/997/8/567/688/695/1089/822/909/918/999/
477,AUDv5,"Ventral auditory area, layer 5",019399,154,1023,/997/8/567/688/695/315/247/1018/1023/
478,ANcr2pu,"Crus 2, Purkinje layer",FFFC91,1078,10679,/997/8/512/528/1073/1017/1064/10679/
479,bsc,brachium of the superior colliculus,CCCCCC,1114,916,/997/1009/967/848/916/
480,SLD,Sublaterodorsal nucleus,FFC395,934,358,/997/8/343/1065/771/1117/358/
481,LHA,Lateral hypothalamic area,F2483B,794,194,/997/8/343/1129/1097/290/194/
482,ACAd6a,"Anterior cingulate area, dorsal part, layer 6a",40A666,230,919,/997/8/567/688/695/315/31/39/919/
483,PALd,"Pallidum, dorsal region",8599CC,609,818,/997/8/567/623/803/818/
484,DCO,Dorsal cochlear nucleus,FFA5D2,941,96,/997/8/343/1065/354/386/607/96/
485,VISm6a,"Medial visual area, layer 6a",1AA698,323,480149334,/997/8/567/688/695/315/254/894/480149314/480149334/
486,ec,external capsule,CCCCCC,1193,579,/997/1009/983/776/956/579/
487,pap,pallidothalamic pathway,CCCCCC,1220,142,/997/1009/1000/760/142/
488,ADP,Anterodorsal preoptic nucleus,FF5547,735,72,/997/8/343/1129/1097/141/72/
489,AId5,"Agranular insular area, dorsal part, layer 5",219866,282,1101,/997/8/567/688/695/315/95/104/1101/
490,SSp-n1,"Primary somatosensory area, nose, layer 1",188064,45,558,/997/8/567/688/695/315/453/322/353/558/
491,LGvm,"Ventral part of the lateral geniculate complex, medial zone",FF909F,709,316,/997/8/343/1129/549/856/1014/178/316/
492,VMHa,"Ventromedial hypothalamic nucleus, anterior part",FF4C3E,788,761,/997/8/343/1129/1097/467/693/761/
493,aco,"anterior commissure, olfactory limb",CCCCCC,1111,900,/997/1009/967/840/900/
494,AIv2/3,"Agranular insular area, ventral part, layer 2/3",219866,293,694,/997/8/567/688/695/315/95/119/694/
495,svp,spinovestibular pathway,CCCCCC,1166,293,/997/1009/967/871/293/
496,UVUpu,"Uvula (IX), Purkinje layer",FFFC91,1060,10733,/997/8/512/528/645/957/10733/
497,NODgr,"Nodulus (X), granular layer",ECE754,1065,10735,/997/8/512/528/645/968/10735/
498,SSp4,"Primary somatosensory area, layer 4",188064,40,865,/997/8/567/688/695/315/453/322/865/
499,MO1,"Somatomotor areas, Layer 1",1F9D5A,13,107,/997/8/567/688/695/315/500/107/
500,TTv1-3,"Taenia tecta, ventral part, layers 1-3",62D09F,406,306,/997/8/567/688/695/698/589/605/306/
501,NTSco,"Nucleus of the solitary tract, commissural part",FFA5D2,950,666,/997/8/343/1065/354/386/651/666/
502,PGRN,Paragigantocellular reticular nucleus,FFB3D9,990,938,/997/8/343/1065/354/370/938/
503,XIn,accessory spinal nerve,CCCCCC,1146,717,/997/1009/967/717/
504,CUL4mo,"Lobule IV, molecular layer",FFFC91,1035,10716,/997/8/512/528/645/928/992/10716/
505,tct,trigeminocerebellar tract,CCCCCC,1187,373,/997/1009/960/752/373/
506,VAL,Ventral anterior-lateral complex of the thalamus,FF8084,644,629,/997/8/343/1129/549/864/637/629/
507,ORBm6b,"Orbital area, medial part, layer 6b",248A5E,270,527696977,/997/8/567/688/695/315/714/731/527696977/
508,TR,Postpiriform transition area,A8ECD3,449,566,/997/8/567/688/695/698/566/
509,COAa3,"Cortical amygdalar area, anterior part, layer 3",61E7B7,430,208,/997/8/567/688/695/698/631/639/208/
510,PRC,Precommissural nucleus,FF90FF,839,50,/997/8/343/313/323/795/50/
511,VISrl6b,"Rostrolateral area, layer 6b",009FAC,359,312782624,/997/8/567/688/695/315/22/417/312782624/
512,CENT3mo,"Lobule III, molecular layer",FFFC91,1030,10713,/997/8/512/528/645/920/984/10713/
513,LGd-sh,"Dorsal part of the lateral geniculate complex, shell",FF8084,663,496345664,/997/8/343/1129/549/864/1008/170/496345664/
514,CENT3pu,"Lobule III, Purkinje layer",FFFC91,1031,10712,/997/8/512/528/645/920/984/10712/
515,EV,Efferent vestibular nucleus,FFB3D9,969,640,/997/8/343/1065/354/370/640/
516,mtc,middle thalamic commissure,CCCCCC,1214,86,/997/1009/983/896/86/
517,VISpm5,"posteromedial visual area, layer 5",08858C,203,565,/997/8/567/688/695/315/669/533/565/
518,VISrll1,"Rostrolateral lateral visual area, layer 1",188064,59,480149206,/997/8/567/688/695/315/453/322/329/480149202/480149206/
519,SSs2/3,"Supplemental somatosensory area, layer 2/3",188064,102,806,/997/8/567/688/695/315/453/378/806/
520,PL,Prelimbic area,2FA850,238,972,/997/8/567/688/695/315/972/
521,MEApd-c,"Medial amygdalar nucleus, posterodorsal part, sublayer c",80C0E2,606,487,/997/8/567/623/477/278/403/426/487/
522,rf,rhinal fissure,AAAAAA,1308,1071,/997/1024/1032/1071/
523,MTN,Midline group of the dorsal thalamus,FF909F,691,571,/997/8/343/1129/549/856/571/
524,php,propriohypothalamic pathways,CCCCCC,1271,182,/997/1009/991/824/182/
525,PVHd,"Paraventricular hypothalamic nucleus, descending division",FF4C3E,782,63,/997/8/343/1129/1097/467/63/
526,VISrl1,"Rostrolateral area, layer 1",009FAC,354,312782604,/997/8/567/688/695/315/22/417/312782604/
527,COApm1,"Cortical amygdalar area, posterior part, medial zone, layer 1",61E7B7,441,240,/997/8/567/688/695/698/631/647/663/240/
528,BSTam,"Bed nuclei of the stria terminalis, anterior division, anteromedial area",B3C0DF,624,498,/997/8/567/623/803/809/351/359/498/
529,stc,commissural branch of stria terminalis,CCCCCC,1260,484682528,/997/1009/991/768/301/484682528/
530,VISl5,"Lateral visual area, layer 5",08858C,182,613,/997/8/567/688/695/315/669/409/613/
531,PVp,"Periventricular hypothalamic nucleus, posterior part",FF5547,749,126,/997/8/343/1129/1097/141/126/
532,Vn,trigeminal nerve,CCCCCC,1125,901,/997/1009/967/901/
533,ORBm2/3,"Orbital area, medial part, layer 2/3",248A5E,267,582,/997/8/567/688/695/315/714/731/582/
534,TR1,"Postpiriform transition area, layers 1",A8ECD3,451,1140,/997/8/567/688/695/698/566/1140/
535,VISal6b,"Anterolateral visual area, layer 6b",08858C,170,649,/997/8/567/688/695/315/669/402/649/
536,AMv,"Anteromedial nucleus, ventral part",FF909F,678,1104,/997/8/343/1129/549/856/239/127/1104/
537,UVUmo,"Uvula (IX), molecular layer",FFFC91,1059,10734,/997/8/512/528/645/957/10734/
538,NLOT3,"Nucleus of the lateral olfactory tract, layer 3",95E4C8,425,1139,/997/8/567/688/695/698/619/1139/
539,ICd,"Inferior colliculus, dorsal nucleus",FF7AFF,814,820,/997/8/343/313/339/4/820/
540,AONl,"Anterior olfactory nucleus, lateral part",54BF94,393,183,/997/8/567/688/695/698/159/183/
541,VERM,Vermal regions,FFFC91,1019,645,/997/8/512/528/645/
542,PCN,Paracentral nucleus,FF909F,699,907,/997/8/343/1129/549/856/51/907/
543,RCH,Retrochiasmatic area,F2483B,799,173,/997/8/343/1129/1097/290/173/
544,COPYpu,"Copula pyramidis, Purkinje layer",FFFC91,1086,10685,/997/8/512/528/1073/1033/10685/
545,BSTpr,"Bed nuclei of the stria terminalis, posterior division, principal nucleus",B3C0DF,634,578,/997/8/567/623/803/809/351/367/578/
546,DGcr-mo,"Dentate gyrus crest, molecular layer",7ED04B,479,742,/997/8/567/688/695/1089/1080/726/734/742/
547,SPFm,"Subparafascicular nucleus, magnocellular part",FF8084,653,414,/997/8/343/1129/549/864/406/414/
548,ND,Nucleus of Darkschewitsch,FF90FF,841,587,/997/8/343/313/323/795/587/
549,CUN,Cuneiform nucleus,FF90FF,852,616,/997/8/343/313/323/616/
550,NB,Nucleus of the brachium of the inferior colliculus,FF7AFF,816,580,/997/8/343/313/339/580/
551,AUDd6b,"Dorsal auditory area, layer 6b",019399,128,243,/997/8/567/688/695/315/247/1011/243/
552,ACVI,Accessory abducens nucleus,FFB3D9,966,568,/997/8/343/1065/354/370/568/
